Customer_name,Number_of_Reviews,Number_of_Followers,Star_Rating,Time_of_Posting,Votes_&_Comments,Review_Text,Type
Rohit Patil,0 reviews,0 Followers,1,2 months ago,"0 Votes for helpful, 0 Comments",you gave me only 1 french fries. i ordered 2 french fries.,DELIVERY
Yeshwanth,0 reviews,0 Followers,3,2 months ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Ukendran Ukas,0 reviews,0 Followers,1,2 months ago,"0 Votes for helpful, 0 Comments",the drink wasn't cold,DELIVERY
Radhey Sham,0 reviews,0 Followers,2,2 months ago,"0 Votes for helpful, 0 Comments",Wrap and fries was not fresh feeling cooked minimum 05 hours back,DELIVERY
Arun Sharma,0 reviews,0 Followers,1,2 months ago,"0 Votes for helpful, 0 Comments",the drink packing is very bad.,DELIVERY
Ram,0 reviews,0 Followers,1,2 months ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Jagriti,0 reviews,0 Followers,1,2 months ago,"0 Votes for helpful, 0 Comments",the food was delivered in one hour instead of half an hour,DELIVERY
Brian Mhando,0 reviews,0 Followers,3,2 months ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Bharath Jamadagni,0 reviews,1 Followers,1,2 months ago,"0 Votes for helpful, 0 Comments",Fries did not get delivered and food was very cold . Do not deliver if you are not able to deliver the food hot,DELIVERY
Malaika,0 reviews,1 Followers,3,2 months ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Mohan,0 reviews,0 Followers,1,2 months ago,"0 Votes for helpful, 0 Comments","IN Cheese burger , cheese was not their..",DELIVERY
Shashank,0 reviews,0 Followers,1,2 months ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Pratiksha,0 reviews,1 Followers,5,2 months ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Rajeshwari,0 reviews,0 Followers,4,2 months ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Niharikaa,0 reviews,0 Followers,4,2 months ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Ishika Mehta,0 reviews,0 Followers,4,2 months ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Vaibhav Abhinandan,0 reviews,0 Followers,3,2 months ago,"0 Votes for helpful, 0 Comments",,DELIVERY
Ankith,0 reviews,0 Followers,5,2 months ago,"0 Votes for helpful, 0 Comments",Super fast,DELIVERY
Shalini Raj,0 reviews,1 Followers,5,2 months ago,"0 Votes for helpful, 0 Comments",,DELIVERY
