Restaurant_Name,Rating,Cuisine_Type,Cost_for_One,Delivery_Time (min),OFF_offer,Url_link
Dil Punjabi Daily,3.7,North Indian,¹ 100.00,NA,40% OFF,https://www.zomato.com/bangalore/dil-punjabi-daily-kammanahalli-bangalore/order
Apsara Ice Creams,4.5,"Ice Cream, Desserts",¹ 100.00,NA,   125 OFF,https://www.zomato.com/bangalore/apsara-ice-creams-indiranagar-bangalore/order
Gowda's Nati Cafe,3.4,"Biryani, South Indian, Chinese",¹ 150.00,58,NA,https://www.zomato.com/bangalore/gowdas-nati-cafe-1-btm-bangalore/order
Sundae Everyday Ice Creams,3.3,"Ice Cream, Desserts, Shake",¹ 150.00,35,50% OFF,https://www.zomato.com/bangalore/sundae-everyday-ice-creams-vasanth-nagar-bangalore/order
New Rajanna Military Hotel,4,"Biryani, South Indian",¹ 150.00,42,NA,https://www.zomato.com/bangalore/new-rajanna-military-hotel-rajajinagar-bangalore/order
Gowda's Donne Biriyani,4.2,"Biryani, Chinese, North Indian, Mughlai",¹ 150.00,46,NA,https://www.zomato.com/bangalore/gowdas-donne-biriyani-2-rt-nagar-bangalore/order
Mubarak Restaurant,4.1,"North Indian, Chinese, Kebab, Sichuan",¹ 150.00,44,NA,https://www.zomato.com/bangalore/mubarak-restaurant-rajajinagar-bangalore/order
Kairali,4.3,"South Indian, Seafood, Biryani",¹ 150.00,51,NA,https://www.zomato.com/bangalore/kairali-btm-bangalore/order
Panchami,4.1,"North Indian, Chinese, Street Food, Fast Food, Juices, Shake",¹ 150.00,49,NA,https://www.zomato.com/bangalore/panchami-banashankari/order
Nisarga Grand,4,"South Indian, Beverages",¹ 150.00,38,NA,https://www.zomato.com/bangalore/nisarga-grand-city-market-bangalore/order
Chalukya Samrat Cafe Since 1977,4.2,"South Indian, North Indian, Chinese, Street Food, Beverages",¹ 150.00,30,60% OFF,https://www.zomato.com/bangalore/chalukya-samrat-cafe-since-1977-st-marks-road-bangalore/order
RollsKing,4.1,"Rolls, Fast Food, North Indian",¹ 150.00,54,40% OFF,https://www.zomato.com/bangalore/rollsking-btm-bangalore/order
Chichaba's Taj,4.1,"Biryani, North Indian, Kebab, Mughlai, Seafood",¹ 150.00,43,NA,https://www.zomato.com/bangalore/chichabas-taj-frazer-town/order
Sri Rajarajeshwari Iyer Mess,4.4,South Indian,¹ 150.00,42,NA,https://www.zomato.com/bangalore/sri-rajarajeshwari-iyer-mess-malleshwaram-bangalore/order
Kalpavriksha Grand,4.3,"South Indian, North Indian, Chinese, Street Food, Beverages",¹ 100.00,56,NA,https://www.zomato.com/bangalore/kalpavriksha-grand-jayanagar-bangalore/order
Hotel Revoli Inn,4.1,"Chinese, North Indian, Mughlai",¹ 100.00,30,NA,https://www.zomato.com/bangalore/hotel-revoli-inn-shanti-nagar-bangalore/order
Thai House,4.1,Thai,¹ 100.00,56,NA,https://www.zomato.com/bangalore/thai-house-thippasandra-bangalore/order
Gowdru Hotel,3.4,"Biryani, South Indian, Kebab",¹ 100.00,51,40% OFF,https://www.zomato.com/bangalore/gowdru-hotel-basaveshwara-nagar-bangalore/order
Tasty Munch,4,"Fast Food, Sandwich, Pizza, Chinese, Beverages, Shake",¹ 100.00,57,NA,https://www.zomato.com/bangalore/tasty-munch-rajajinagar-bangalore/order
RR Vatika,4,"North Indian, Street Food",¹ 100.00,49,NA,https://www.zomato.com/bangalore/rr-vatika-jayanagar-bangalore/order
Hotel Aditya Nonveg Nati Style,3.8,"Kebab, Biryani",¹ 100.00,56,NA,https://www.zomato.com/bangalore/hotel-aditya-nonveg-nati-style-1-jp-nagar-bangalore/order
Ajji Mane Baadoota,4.1,"Biryani, Kebab",¹ 100.00,46,NA,https://www.zomato.com/bangalore/ajji-mane-baadoota-banashankari-bangalore/order
Alemane Donne Biriyani,4.1,"Biryani, Shawarma, Grilled Chicken",¹ 100.00,46,NA,https://www.zomato.com/bangalore/alemane-donne-biriyani-1-domlur-bangalore/order
Rooftop Cafe,3.9,"Pizza, Fast Food, Chinese, Coffee, Beverages",¹ 100.00,55,NA,https://www.zomato.com/bangalore/rooftop-cafe-jayanagar/order
Arun Icecreams,4.4,Ice Cream,¹ 100.00,46,NA,https://www.zomato.com/bangalore/arun-icecreams-jayanagar-bangalore/order
Aahar,3.6,"Street Food, North Indian",¹ 100.00,48,30% OFF,https://www.zomato.com/bangalore/aahar-rajajinagar-bangalore/order
Mughal Treat,4.1,"North Indian, Mughlai, Seafood, Chinese, Rolls, Biryani, Desserts",¹ 400.00,61,50% OFF,https://www.zomato.com/bangalore/mughal-treat-btm-bangalore/order
Khan Saheb Grills And Rolls,4.1,"North Indian, Rolls, Kebab, Mughlai, Biryani, Beverages",¹ 200.00,37,NA,https://www.zomato.com/bangalore/khan-saheb-grills-and-rolls-commercial-street-bangalore/order
Sahana's - Since 1993,3.9,"Biryani, Andhra, South Indian, Beverages, Kebab",¹ 200.00,38,NA,https://www.zomato.com/bangalore/sahanas-since-1993-wilson-garden-bangalore/order
Bansuri Sweets,3.9,"Mithai, North Indian, Street Food, Sandwich, Chinese",¹ 100.00,44,NA,https://www.zomato.com/bangalore/bansuri-sweets-vijay-nagar/order
Juice Adda,4.2,"Rolls, Fast Food, Chinese",¹ 100.00,53,NA,https://www.zomato.com/bangalore/juice-adda-rajajinagar/order
The Licious Kitchen,4.2,"North Indian, Kebab, Mughlai, Afghan, BBQ",¹ 200.00,58,60% OFF,https://www.zomato.com/bangalore/the-licious-kitchen-koramangala-6th-block-bangalore/order
Yummy Sip N Bites,4.1,"Pizza, Sandwich, Burger, Rolls, Fast Food, Shake, Desserts, Ice Cream",¹ 200.00,57,Free Death By Chocolate,https://www.zomato.com/bangalore/yummy-sip-n-bites-basaveshwara-nagar-bangalore/order
Chung's Chinese Corner,4.3,"Chinese, Malaysian, Seafood",¹ 500.00,31,20% OFF,https://www.zomato.com/bangalore/chungs-chinese-corner-cunningham-road/order
Punjabi Pure Veg Restaurant Since 1994,3.8,"North Indian, Beverages, Chinese",¹ 150.00,52,NA,https://www.zomato.com/bangalore/punjabi-pure-veg-restaurant-since-1994-1-majestic-bangalore/order
Sagar Delicacy,4.2,"North Indian, Chinese, South Indian, Beverages",¹ 200.00,41,NA,https://www.zomato.com/bangalore/sagar-delicacy-2-ulsoor-bangalore/order
Yuki,4.3,"Asian, Japanese, Sushi, Thai, Chinese, Salad, Desserts",¹ 650.00,62,   175 OFF,https://www.zomato.com/bangalore/yuki-indiranagar-bangalore/order
Element3,4.3,"North Indian, Chinese, Biryani",¹ 400.00,61,NA,https://www.zomato.com/bangalore/element3-indiranagar-bangalore/order
Ultimate MealBox,4.3,North Indian,¹ 200.00,57,50% OFF,https://www.zomato.com/bangalore/ultimate-mealbox-btm-bangalore/order
New Sagar Fast Food,4,"South Indian, Street Food, Chinese",¹ 200.00,52,NA,https://www.zomato.com/bangalore/new-sagar-fast-food-yeshwantpur-bangalore/order
Kouzina Kafe - The Food Court,3.3,"Fast Food, Burger, Momos, Rolls, Desserts, Bakery, Shake",¹ 200.00,29,60% OFF,https://www.zomato.com/bangalore/kouzina-kafe-the-food-court-vasanth-nagar-bangalore/order
Bangalore Thindies,3.9,South Indian,¹ 200.00,26,NA,https://www.zomato.com/bangalore/bangalore-thindies-infantry-road-bangalore/order
Tim Hortons,4.2,"Cafe, Coffee, Beverages, Desserts, Sandwich, Fast Food",¹ 200.00,49,   100 OFF,https://www.zomato.com/bangalore/tim-hortons-koramangala-8th-block-bangalore/order
Al Zaitoon,3.8,"Chinese, North Indian, Mughlai, Lebanese",¹ 200.00,43,NA,https://www.zomato.com/bangalore/al-zaitoon-richmond-road-bangalore/order
Sri Venkateshwara Sweetmeat Stall,4.6,"Mithai, Street Food, Fast Food, North Indian",¹ 200.00,38,NA,https://www.zomato.com/bangalore/sri-venkateshwara-sweetmeat-stall-majestic/order
Antarastriya,3.8,"Pizza, Fast Food, Chinese, Beverages, Shake, Italian, Mexican, Juices",¹ 200.00,43,Free Gobi Manchurian,https://www.zomato.com/antarastriya/order
Sea Meen Restaurant,4.4,"North Indian, Chinese, Seafood, Biryani, Mughlai",¹ 200.00,50,NA,https://www.zomato.com/bangalore/sea-meen-restaurant-koramangala-7th-block-bangalore/order
Davanagere Benne Dose Manne,4.1,South Indian,¹ 200.00,36,NA,https://www.zomato.com/bangalore/davanagere-benne-dose-manne-basavanagudi-bangalore/order
Just Chole Bhature,3.7,"North Indian, Street Food",¹ 200.00,47,NA,https://www.zomato.com/bangalore/just-chole-bhature-basavanagudi-bangalore/order
Tasty Magic,3.5,"Chinese, North Indian, Mughlai, Arabian, Kebab, Seafood, Biryani, Ice Cream",¹ 200.00,53,50% OFF,https://www.zomato.com/bangalore/tasty-magic-btm/order
Siddique Kabab Centre,4,"Mughlai, Chinese, North Indian, Rolls, Sichuan",¹ 100.00,42,NA,https://www.zomato.com/bangalore/siddique-kabab-centre-frazer-town/order
Falahaar & Kota Kachori,3.8,"Mithai, Street Food",¹ 100.00,NA,   100 OFF,https://www.zomato.com/bangalore/falahaar-kota-kachori-1-indiranagar-bangalore/order
Amul Ice Cream Parlour,4.4,"Ice Cream, Desserts, Beverages, Shake",¹ 100.00,51,NA,https://www.zomato.com/bangalore/amul-ice-cream-parlour-btm-bangalore/order
Masti Masala,4.3,"North Indian, Chinese, Biryani, Beverages, Rolls",¹ 100.00,52,NA,https://www.zomato.com/bangalore/masti-masala-rajajinagar/order
Hamza Hotel,4.3,"Biryani, North Indian",¹ 100.00,36,NA,https://www.zomato.com/bangalore/hamza-hotel-shivajinagar-bangalore/order
Le Arabia,3.5,"Arabian, North Indian",¹ 100.00,59,NA,https://www.zomato.com/bangalore/le-arabia-koramangala-5th-block-bangalore/order
Mane Holige,4.5,"Mithai, Desserts",¹ 100.00,51,NA,https://www.zomato.com/bangalore/mane-holige-1-koramangala-6th-block-bangalore/order
Cakes By Flower Aura,4.1,Bakery,¹ 100.00,51,NA,https://www.zomato.com/bangalore/cakes-by-flower-aura-brookefield-bangalore/order
Bangalore Mandarin,4.2,"Chinese, Seafood, Sichuan, Beverages",¹ 100.00,53,NA,https://www.zomato.com/bangalore/bangalore-mandarin-1-indiranagar/order
Karavali Fine Dine,4,"Mangalorean, Biryani, Chinese, South Indian, Mughlai, Seafood, North Indian",¹ 100.00,35,20% OFF,https://www.zomato.com/bangalore/karavali-fine-dine-brigade-road-bangalore/order
Marathi Kitchen,4.3,"Maharashtrian, Beverages, Desserts",¹ 100.00,55,NA,https://www.zomato.com/bangalore/marathi-kitchen-jayanagar-bangalore/order
BOOM Sandwich - Sub of India,4.4,"Sandwich, Healthy Food, Beverages",¹ 100.00,22,50% OFF,https://www.zomato.com/bangalore/boom-sandwich-sub-of-india-langford-town-bangalore/order
Kunafa World,4.5,Desserts,¹ 150.00,44,NA,https://www.zomato.com/bangalore/kunafa-world-sanjay-nagar-bangalore/order
Rajajinagar Biriyani Hub,3.6,"Biryani, Chinese",¹ 150.00,52,30% OFF,https://www.zomato.com/bangalore/rajajinagar-biriyani-hub-rajajinagar-bangalore/order
Shawarma On Wheels,3.5,"Shawarma, Fast Food",¹ 150.00,28,30% OFF,https://www.zomato.com/bangalore/shawarma-on-wheels-st-marks-road-bangalore/order
Gully Treats,4.2,"North Indian, Sandwich, Fast Food, Street Food, Shake, Beverages",¹ 150.00,52,10% OFF,https://www.zomato.com/bangalore/gully-treats-basaveshwara-nagar-bangalore/order
Faasos Signature Wraps and Rolls,4.3,"Rolls, Wraps, Shawarma",¹ 150.00,43,20% OFF,https://www.zomato.com/bangalore/faasos-signature-wraps-and-rolls-shanti-nagar-bangalore/order
Street Foods By Punjab Grill,4,"North Indian, Street Food, Biryani, Chinese, Fast Food, Beverages",¹ 150.00,51,   175 OFF,https://www.zomato.com/bangalore/street-foods-by-punjab-grill-malleshwaram-bangalore/order
Burgerama,4,Burger,¹ 150.00,53,50% OFF,https://www.zomato.com/bangalore/burgerama-indiranagar-bangalore/order
Imperial Bakery & Chai - Since 1880,3.6,"Tea, Beverages, Rolls, Bakery, Coffee, Desserts, Burger",¹ 150.00,52,50% OFF,https://www.zomato.com/bangalore/imperial-bakery-chai-since-1880-frazer-town-bangalore/order
Dwarkamai Pure Veg Restaurant,4.1,"North Indian, South Indian, Chinese, Fast Food, Shake, Desserts, Beverages",¹ 150.00,45,50% OFF,https://www.zomato.com/bangalore/dwarkamai-pure-veg-restaurant-basavanagudi-bangalore/order
Mayuri,4.1,"Andhra, Biryani, North Indian, Chinese, Desserts",¹ 150.00,61,NA,https://www.zomato.com/bangalore/mayuri-1-jp-nagar-bangalore/order
Ande Ka Funda,4.4,"North Indian, Rolls",¹ 150.00,56,NA,https://www.zomato.com/bangalore/ande-ka-funda-1-jp-nagar-bangalore/order
Prerna Punjabi Home Made Food,4,North Indian,¹ 150.00,46,NA,https://www.zomato.com/bangalore/prerna-punjabi-home-made-food-rt-nagar-bangalore/order
Chapathi Mane,4.1,"Mithai, South Indian",¹ 100.00,40,NA,https://www.zomato.com/bangalore/chapathi-mane-malleshwaram-bangalore/order
The Betel Leaf Co - PAAN Originally from Bangalore,4.6,"Paan, Desserts, Beverages",¹ 100.00,31,10% OFF,https://www.zomato.com/bangalore/the-betel-leaf-co-paan-originally-from-bangalore-vasanth-nagar-bangalore/order
Chili's American Grill & Bar,4,"Burger, Mexican, American, Italian, Continental, Desserts, Beverages",¹ 100.00,66,   150 OFF,https://www.zomato.com/bangalore/chilis-american-grill-bar-rajajinagar-bangalore/order
Udupi Ahara,4,"South Indian, North Indian, Chinese",¹ 100.00,53,10% OFF,https://www.zomato.com/bangalore/udupi-ahara-rajajinagar-bangalore/order
SLV Ragigudda,4.3,"South Indian, North Indian, Chinese, Street Food",¹ 100.00,51,NA,https://www.zomato.com/bangalore/slv-ragigudda-jayanagar-bangalore/order
Malleshwaram Dosa Corner,4.5,South Indian,¹ 100.00,43,Free Set Dosa,https://www.zomato.com/bangalore/malleshwaram-dosa-corner-malleshwaram-bangalore/order
Spice Up,3.9,"Chinese, North Indian, Biryani, Seafood",¹ 100.00,52,NA,https://www.zomato.com/bangalore/spice-up-jp-nagar/order
Manjit Da Dhaba,4.4,"North Indian, Desserts",¹ 100.00,47,NA,https://www.zomato.com/bangalore/manjit-da-dhaba-frazer-town/order
Sri Maruthi Gowda's Military Hotel,4.3,South Indian,¹ 100.00,33,NA,https://www.zomato.com/bangalore/sri-maruthi-gowdas-military-hotel-majestic-bangalore/order
Holige Mane,4.5,South Indian,¹ 100.00,47,NA,https://www.zomato.com/bangalore/holige-mane-vijay-nagar/order
New Kadai Family Restaurant,3.7,"Chinese, North Indian, Biryani, Rolls, Seafood, Mughlai, Shake, Beverages",¹ 100.00,43,NA,https://www.zomato.com/bangalore/new-kadai-family-restaurant-rt-nagar-bangalore/order
Main Lassi Shop,4.1,"Beverages, Shake, Juices, Fast Food, Street Food, Sandwich, Ice Cream",¹ 100.00,35,NA,https://www.zomato.com/bangalore/main-lassi-shop-shivajinagar-bangalore/order
Mr. Biryani,4.1,"Biryani, North Indian, Chinese, Andhra",¹ 100.00,53,NA,https://www.zomato.com/bangalore/mr-biryani-btm-bangalore/order
Haka,4.3,"Chinese, Momos",¹ 200.00,42,NA,https://www.zomato.com/bangalore/haka-church-street-bangalore/order
Slurpy Shakes,3.5,"Shake, Ice Cream, Desserts, Fast Food, Beverages",¹ 200.00,35,50% OFF,https://www.zomato.com/bangalore/slurpy-shakes-vasanth-nagar-bangalore/order
Lakeview Milkbar     Since 1930,4.1,"Ice Cream, Desserts, Bakery, Waffle, Sandwich, Shake",¹ 200.00,32,20% OFF,https://www.zomato.com/bangalore/lakeview-milkbar-since-1930-mg-road-bangalore/order
Bengoli Food,3.6,"Bengali, North Indian",¹ 150.00,68,NA,https://www.zomato.com/bangalore/bengoli-food-koramangala-1st-block-bangalore/order
Malgudi's Nati style,4.2,"Biryani, South Indian",¹ 200.00,56,NA,https://www.zomato.com/bangalore/malgudis-nati-style-btm-bangalore/order
New Shanthi Upahar,4.4,"South Indian, North Indian, Chinese, Street Food, Beverages, Desserts, Juices",¹ 150.00,56,NA,https://www.zomato.com/bangalore/new-shanthi-upahar-jayanagar/order
New Gongura Grand,3.7,"Andhra, North Indian, Chinese, Mughlai, Seafood, Biryani, Beverages",¹ 400.00,51,Flat 20% OFF,https://www.zomato.com/bangalore/new-gongura-grand-btm-bangalore/order
Chaayos Chai+Snacks=Relax,4.3,"Tea, Beverages, Sandwich, Street Food",¹ 150.00,30,20% OFF,https://www.zomato.com/bangalore/chaayos-chai-snacks-relax-cunningham-road-bangalore/order
Temperature Juice Bar,4.2,"Beverages, Shake, Healthy Food, Street Food",¹ 100.00,61,NA,https://www.zomato.com/bangalore/temperature-juice-bar-btm-bangalore/order
Chole Bhature And Parathas,3.5,North Indian,¹ 150.00,58,50% OFF,https://www.zomato.com/bangalore/chole-bhature-and-parathas-rajajinagar-bangalore/order
Yum Me Too,3.1,"Kebab, Biryani, Burger, Wraps, Grilled Chicken, Fast Food",¹ 300.00,NA,NA,https://www.zomato.com/bangalore/yum-me-too-banaswadi-bangalore/order
Samosa Singh,4,"Street Food, North Indian, Mithai, Beverages",¹ 150.00,35,20% OFF,https://www.zomato.com/bangalore/samosa-singh-brigade-road-bangalore/order
Srinathji's,4.2,"Chinese, Italian, North Indian, Oriental, Mexican, Street Food, Desserts, Beverages",¹ 150.00,56,NA,https://www.zomato.com/bangalore/srinathjis-indiranagar/order
Umpire Chicken County,3.8,"Rolls, Chinese, North Indian, Biryani",¹ 150.00,44,NA,https://www.zomato.com/bangalore/umpire-chicken-county-richmond-road-bangalore/order
Basco And Fry,4.1,"Burger, American, Continental",¹ 150.00,62,10% OFF,https://www.zomato.com/bangalore/basco-and-fry-indiranagar-bangalore/order
Cold Stone Creamery,4.2,"Ice Cream, Desserts, Waffle, Shake, Beverages",¹ 150.00,40,NA,https://www.zomato.com/bangalore/cold-stone-creamery-mg-road-bangalore/order
Gam's Delicacy,4.4,"North Indian, Chinese, Assamese",¹ 150.00,54,NA,https://www.zomato.com/bangalore/gams-delicacy-koramangala-7th-block/order
Rajvardhan   s - Since 1998,4.1,"Street Food, Maharashtrian, Fast Food",¹ 150.00,59,NA,https://www.zomato.com/bangalore/rajvardhans-since-1998-jayanagar-bangalore/order
Sri Bettaiah Military Hotel,4.3,Mughlai,¹ 150.00,42,NA,https://www.zomato.com/bangalore/sri-bettaiah-military-hotel-magadi-road-bangalore/order
Vaishali Hotel,3.9,"Andhra, North Indian, Mughlai, Seafood, Chinese, Kebab, Biryani",¹ 150.00,61,NA,https://www.zomato.com/bangalore/vaishali-hotel-banashankari-bangalore/order
LM Paradise Cuisines And Cafe,3.9,"North Indian, Mughlai, Chinese, Sichuan",¹ 150.00,49,NA,https://www.zomato.com/bangalore/lm-paradise-cuisines-and-cafe-rt-nagar-bangalore/order
Taaka Chinese,2.8,"Chinese, Oriental, Asian",¹ 150.00,35,50% OFF,https://www.zomato.com/bangalore/taaka-chinese-richmond-town-bangalore/order
Click & Orders,4.2,"Bakery, Desserts, Pancake, Ice Cream",¹ 150.00,72,NA,https://www.zomato.com/bangalore/click-orders-btm-bangalore/order
Asia Seven     Sizzling Chinese,3.8,"Chinese, Momos, Asian, Sichuan, Thai, Beverages",¹ 300.00,44,   175 OFF,https://www.zomato.com/bangalore/asia-seven-sizzling-chinese-malleshwaram-bangalore/order
Rolling Fresh,4.2,"Rolls, Fast Food, North Indian",¹ 300.00,56,   125 OFF,https://www.zomato.com/bangalore/rolling-fresh-basavanagudi-bangalore/order
Hotel Raghavendra Prasanna,4.4,South Indian,¹ 300.00,49,NA,https://www.zomato.com/bangalore/hotel-raghavendra-prasanna-city-market/order
Big Mishra Pedha,4.3,"Mithai, Fast Food, Street Food",¹ 300.00,40,NA,https://www.zomato.com/bangalore/big-mishra-pedha-rt-nagar-bangalore/order
Deccan Platters,4,"South Indian, Biryani",¹ 300.00,55,NA,https://www.zomato.com/bangalore/deccan-platters-koramangala-6th-block-bangalore/order
Poha On Wheels,4.3,Street Food,¹ 300.00,44,20% OFF,https://www.zomato.com/bangalore/poha-on-wheels-koramangala-6th-block-bangalore/order
The Pastry House,4,Bakery,¹ 300.00,63,NA,https://www.zomato.com/bangalore/the-pastry-house-wilson-garden-bangalore/order
Delhi Restaurant & Chaat,4,"North Indian, Chinese, Sichuan",¹ 300.00,48,Free Sweet Lassi,https://www.zomato.com/bangalore/delhi-restaurant-chaat-rt-nagar-bangalore/order
Desi Pakwan,3.8,"Street Food, North Indian",¹ 300.00,55,40% OFF,https://www.zomato.com/bangalore/desi-pakwan-btm-bangalore/order
Tasty Restaurant,3.8,"Arabian, North Indian, Chinese, Biryani, Mughlai, Beverages, South Indian, Sichuan",¹ 300.00,53,NA,https://www.zomato.com/bangalore/tasty-restaurant-3-btm-bangalore/order
Mavalli Biryani,3.7,"Biryani, South Indian, Chinese",¹ 300.00,49,NA,https://www.zomato.com/bangalore/mavalli-biryani-basaveshwara-nagar-bangalore/order
Parkview,4.2,"South Indian, North Indian, Street Food, Chinese, Beverages, Shake, Desserts",¹ 300.00,58,Flat 15% OFF,https://www.zomato.com/bangalore/parkview-jp-nagar/order
Hotel Green Tara,3.9,"Chinese, Tibetan, Sichuan, Momos",¹ 150.00,41,NA,https://www.zomato.com/bangalore/hotel-green-tara-brigade-road/order
The Brooklyn Creamery - Healthy Ice Cream,4.2,Ice Cream,¹ 150.00,40,50% OFF,https://www.zomato.com/bangalore/the-brooklyn-creamery-healthy-ice-cream-seshadripuram-bangalore/order
Lazeez,4.1,"North Indian, Mughlai, Biryani, Kebab, Rolls",¹ 150.00,52,NA,https://www.zomato.com/bangalore/lazeez-koramangala-5th-block/order
Brahmin's Rotti Ruchi,4.3,South Indian,¹ 150.00,51,NA,https://www.zomato.com/bangalore/brahmins-rotti-ruchi-rajajinagar-bangalore/order
Sabzi Aur Roti,3.7,North Indian,¹ 150.00,52,40% OFF,https://www.zomato.com/bangalore/sabzi-aur-roti-rajajinagar-bangalore/order
Sri Udupi Sagar,4.1,"South Indian, Chinese",¹ 150.00,52,NA,https://www.zomato.com/bangalore/sri-udupi-sagar-btm-bangalore/order
Chaileela,4.3,"Tea, Italian, Pizza, Burger, Fast Food, Street Food, Shake, Beverages",¹ 150.00,32,NA,https://www.zomato.com/bangalore/chaileela-lavelle-road-bangalore/order
UR. Military Hotel,4.2,"Biryani, Chinese",¹ 150.00,51,Free Jamoon (1pc),https://www.zomato.com/bangalore/ur-military-hotel-btm-bangalore/order
Maravanthe,4.1,"South Indian, Biryani, Mangalorean, Seafood, North Indian, Desserts, Juices, Beverages",¹ 150.00,55,NA,https://www.zomato.com/bangalore/maravanthe-indiranagar/order
Stories Bar & Kitchen,3.9,"Bar Food, Chinese, North Indian, Italian, Pizza, Seafood, Desserts",¹ 150.00,59,NA,https://www.zomato.com/bangalore/stories-bar-kitchen-jp-nagar-bangalore/order
The Breakfast Nook,4,"Sandwich, Fast Food, Street Food, Desserts, Beverages",¹ 150.00,NA,   125 OFF,https://www.zomato.com/bangalore/the-breakfast-nook-indiranagar-bangalore/order
Say Cheese Cake,4.1,"Bakery, Desserts, Shake",¹ 150.00,53,NA,https://www.zomato.com/bangalore/say-cheese-cake-koramangala-6th-block-bangalore/order
Tango Sandwich King,4.2,"Sandwich, Fast Food, Street Food",¹ 100.00,46,NA,https://www.zomato.com/bangalore/tango-sandwich-king-basaveshwara-nagar-bangalore/order
Cafe Krishnam,4.2,"South Indian, North Indian, Sandwich, Chinese, Ice Cream, Shake, Juices, Beverages",¹ 100.00,49,Everything @    169 only,https://www.zomato.com/bangalore/cafe-krishnam-jayanagar-bangalore/order
Shree Krishna Brahmin's Kitchen,4.3,"North Indian, South Indian",¹ 100.00,59,NA,https://www.zomato.com/bangalore/shree-krishna-brahmins-kitchen-1-kumaraswamy-layout-bangalore/order
Nasi And Mee,4.5,"Asian, Sushi, Thai",¹ 100.00,58,NA,https://www.zomato.com/bangalore/nasi-and-mee-koramangala-4th-block/order
New Mahi Da Dhaba,3.9,"Fast Food, North Indian, Chinese, Seafood, Street Food",¹ 100.00,52,Free Sweet Lassi,https://www.zomato.com/bangalore/new-mahi-da-dhaba-rt-nagar-bangalore/order
Sabzi Aur Roti,3.3,North Indian,¹ 100.00,70,40% OFF,https://www.zomato.com/bangalore/sabzi-aur-roti-btm-bangalore/order
Boat House Sea Food Kitchen,4.2,"Seafood, South Indian, North Indian, Biryani, Chinese, Mangalorean",¹ 100.00,46,NA,https://www.zomato.com/bangalore/boat-house-sea-food-kitchen-majestic-bangalore/order
Al - Arabic Shawarma,4.1,Shawarma,¹ 100.00,58,NA,https://www.zomato.com/bangalore/al-arabic-shawarma-btm-bangalore/order
Dhansagar Restaurant,4.2,"North Indian, Mughlai, Chinese, Biryani, Seafood, Shake",¹ 100.00,56,NA,https://www.zomato.com/bangalore/dhansagar-restaurant-btm-bangalore/order
South Kitchen,4.4,South Indian,¹ 100.00,40,   125 OFF,https://www.zomato.com/bangalore/south-kitchen-basavanagudi/order
Chakum Chukum,4.1,"Rolls, North Indian, Fast Food, Biryani, Kebab, Beverages",¹ 100.00,56,NA,https://www.zomato.com/bangalore/chakum-chukum-indiranagar-bangalore/order
Uthra - By Asha Sweet Center,4.3,"North Indian, Chinese, Pizza, Mithai, Beverages",¹ 100.00,55,10% OFF,https://www.zomato.com/bangalore/uthra-by-asha-sweet-center-indiranagar-bangalore/order
Pizza Nation,3.2,Pizza,¹ 150.00,45,Free Walnut Brownie,https://www.zomato.com/bangalore/pizza-nation-basavanagudi-bangalore/order
Roti Curry & Co,3.4,"North Indian, Desserts",¹ 250.00,68,50% OFF,https://www.zomato.com/bangalore/roti-curry-co-wilson-garden-bangalore/order
Amul Ice Cream Parlour,3.6,"Ice Cream, Sandwich, Street Food, Fast Food, Desserts, Beverages",¹ 150.00,57,NA,https://www.zomato.com/bangalore/amul-ice-cream-parlour-jayanagar-bangalore/order
Iyengars Bakery,4.4,"Bakery, Desserts, Fast Food, Street Food",¹ 150.00,32,NA,https://www.zomato.com/bangalore/iyengars-bakery-1-richmond-road-bangalore/order
Magic Wok,3.9,"Momos, Sandwich, Rolls, Chinese, Shake, Beverages, Juices",¹ 150.00,49,NA,https://www.zomato.com/bangalore/magic-wok-btm-bangalore/order
Udupi Upahar,4.1,"South Indian, North Indian, Chinese, Biryani, Ice Cream, Desserts, Beverages",¹ 200.00,46,NA,https://www.zomato.com/bangalore/udupi-upahar-koramangala-7th-block-bangalore/order
Grand Wedding Biryani,3.6,"Biryani, South Indian",¹ 400.00,57,NA,https://www.zomato.com/bangalore/grand-wedding-biryani-1-btm-bangalore/order
Tiwari's Ghee Paratha And Chaats,4,"North Indian, Rajasthani, Street Food",¹ 150.00,46,NA,https://www.zomato.com/bangalore/tiwaris-ghee-paratha-and-chaats-basavanagudi-bangalore/order
Simplee Shawarma,4.2,"Shawarma, Fast Food",¹ 100.00,61,NA,https://www.zomato.com/bangalore/simplee-shawarma-btm-bangalore/order
Corn Dawg,3.6,"Fast Food, Korean",¹ 150.00,61,Free Mini Corn Dog (Veg),https://www.zomato.com/bangalore/corn-dawg-koramangala-7th-block-bangalore/order
Pailwan Pulao,4,"South Indian, Beverages, North Indian",¹ 100.00,49,40% OFF,https://www.zomato.com/bangalore/pailwan-pulao-1-jayanagar-bangalore/order
The Coffee Brewery,4.2,"Cafe, Coffee, Sandwich, Fast Food, Desserts, Tea, Beverages",¹ 350.00,56,   150 OFF,https://www.zomato.com/bangalore/the-coffee-brewery-koramangala-4th-block-bangalore/order
Happy Platter,4.1,"Chinese, North Indian, Rolls, Fast Food",¹ 150.00,50,NA,https://www.zomato.com/bangalore/happy-platter-rajajinagar-bangalore/order
