Restaurant_Name,Rating,Cuisine_Type,Cost_for_One,Delivery_Time (min),OFF_offer,Url_link
Vijayalakshmi Veg,4,"South Indian, Chinese, North Indian, Sichuan, Beverages",¹ 250.00,40,NA,https://www.zomato.com/bangalore/vijayalakshmi-veg-frazer-town-bangalore/order
Behrouz Biryani,4,"Biryani, Kebab, North Indian",¹ 250.00,36,   125 OFF,https://www.zomato.com/bangalore/behrouz-biryani-shanti-nagar-bangalore/order
Hyderabad Biryaani House - Since 2003,3.8,"Biryani, North Indian, Hyderabadi, Kebab, Chinese, Andhra, Seafood",¹ 250.00,29,NA,https://www.zomato.com/bangalore/hyderabad-biryaani-house-since-2003-richmond-road-bangalore/order
Roti-Wala.Com,4.1,"North Indian, Chinese, Sichuan, Shake, Beverages, Salad",¹ 100.00,59,20% OFF,https://www.zomato.com/bangalore/roti-wala-com-btm-bangalore/order
Donne Biryani House,3.8,"Biryani, South Indian",¹ 100.00,39,NA,https://www.zomato.com/bangalore/donne-biryani-house-malleshwaram/order
Rolls On Wheels - Shawarma & Wraps,4,"Rolls, Kebab, Fast Food, Wraps, Momos, Shawarma, Beverages, Desserts",¹ 100.00,38,40% OFF,https://www.zomato.com/bangalore/rolls-on-wheels-shawarma-wraps-cunningham-road-bangalore/order
"Faasos - Wraps, Rolls & Shawarma",4,"Rolls, Wraps, Shawarma",¹ 100.00,38,   125 OFF,https://www.zomato.com/bangalore/faasos-wraps-rolls-shawarma-vasanth-nagar-bangalore/order
Kwality Wall's Ice Cream And More,4.2,"Ice Cream, Desserts",¹ 100.00,30,   150 OFF,https://www.zomato.com/bangalore/kwality-walls-ice-cream-and-more-1-shanti-nagar-bangalore/order
Kapoor's Cafe,4.2,"North Indian, Fast Food, Street Food, Desserts",¹ 100.00,54,NA,https://www.zomato.com/bangalore/kapoors-cafe-jayanagar-bangalore/order
Potful - Claypot Biryanis,4.2,"Biryani, North Indian, Mughlai, Kebab, Desserts, Beverages",¹ 100.00,76,   150 OFF,https://www.zomato.com/bangalore/potful-claypot-biryanis-thippasandra-bangalore/order
The Belgian Waffle Co.,4.4,"Waffle, Ice Cream, Desserts, Beverages",¹ 100.00,44,   200 OFF,https://www.zomato.com/bangalore/the-belgian-waffle-co-seshadripuram-bangalore/order
NIC Ice Creams,4.5,"Ice Cream, Desserts",¹ 100.00,38,NA,https://www.zomato.com/bangalore/nic-ice-creams-frazer-town-bangalore/order
Taco Bell,3.9,"Mexican, Wraps, Fast Food",¹ 100.00,41,40% OFF,https://www.zomato.com/bangalore/taco-bell-brigade-road-bangalore/order
CakeZone Patisserie,4.3,"Bakery, Desserts, Mithai",¹ 100.00,50,60% OFF,https://www.zomato.com/bangalore/cakezone-patisserie-hosur-road-bangalore/order
Brahmins' Thatte Idli,4.1,South Indian,¹ 100.00,38,20% OFF,https://www.zomato.com/bangalore/brahmins-thatte-idli-1-malleshwaram-bangalore/order
New Udupi Grand,4.1,"South Indian, North Indian, Street Food, Beverages, Chinese, Shake",¹ 100.00,48,NA,https://www.zomato.com/bangalore/new-udupi-grand-1-koramangala-8th-block-bangalore/order
Hotel Aditya- Mahalakshmipuram,4.3,"Biryani, North Indian, South Indian, Mughlai",¹ 100.00,47,NA,https://www.zomato.com/bangalore/hotel-aditya-mahalakshmipuram-rajajinagar-bangalore/order
Theobroma,4.4,"Bakery, Desserts, Fast Food, Beverages",¹ 100.00,16,NA,https://www.zomato.com/bangalore/theobroma-lavelle-road-bangalore/order
Biryani Blues,4.4,"Biryani, Hyderabadi, Mughlai",¹ 100.00,28,40% OFF,https://www.zomato.com/bangalore/biryani-blues-church-street-bangalore/order
Amma's Pastries,4.2,"Bakery, Desserts",¹ 100.00,44,NA,https://www.zomato.com/bangalore/ammas-pastries-ulsoor/order
